ID,Name,Business Description,Primary Objects,Component Groups,Complexity Score
V_2AA66706,Data Change Request (DCR) & Validation,"Transfers submitted data change requests into external steward validation models, registers updates, and maps cleared values back to standard records.","Address_vod__c, Account, Alert_vod__c, Child_Account_vod__c","V51000000008015, V51000000008042, V51000000002014, V51000000002043",0
V_6B3F7DB1,Territory & TSF Management,"Maintains database-level territory alignments, cleanses deactivated target statuses, handles ATL modifications, and syncs preferred medical call locations.","Account, Account_Territory_Loader_vod__c, User, TSF_vod__c","V51000000007018, V51000000001001, V51000000005009, V51000000002064, V51000000001061, V51000000001057, V51000000001052, V51000000001025, V51000000002012, V51000000001004, V51000000002080",90
V_0A7B49CD,Product Catalog & Metrics & Segmentation,"Standardizes product definitions, calculates local-to-regional marketing tiers, updates segment changes, and copies values from product metrics to accounts.","Product_vod__c, Account, mck_Merck_Product_Catalog__c","V51000000008012, V51000000002059, V51000000001100, V51000000007009, V51000000008029, V51000000008019, V51000000008028, V51000000006011, V51000000006003, V51000000002086, V51000000002054, V51000000001093, V51000000001069, V51000000001107, V51000000005011, V51000000002042",172
V_975EF8EF,Order & Inventory Management,"Bridges external systems with Salesforce Order interfaces, monitors pharmaceutical sample lot quantities, alerts on expiration timelines, and initiates inventory transfer approvals.","Product_vod__c, Sample_Limit_vod__c, Sample_Lot_vod__c, Inventory_Order_vod__c","V51000000007015, V51000000007005, V51000000008010, V51000000005010, V51000000008003, V51000000002063, V51000000001094, V51000000002003, V51000000001051, V51000000006008, V51000000002049, V51000000008023, V51000000001032, V51000000008027",434
V_598DE3C4,MCCP Management,"Tracks MCCP campaign dynamics, automates goal activation flags, processes manager approvals, and reconciles plan achievement milestones against TSF logs.","MC_Cycle_Plan_vod__c, TSF_vod__c, MC_Cycle_vod__c, MC_Cycle_Plan_Target_vod__c","V51000000007017, V51000000002010, V51000000006009, V51000000002087, V51000000001078, V51000000001008, V51000000001106, V51000000001007, V51000000001087, V51000000001005, V51000000002015",198
V_137E5F50,Medical Insights & Inquiries,"Oversees the lifecycle of Medical and Commercial Insights, routes records for approval, tracks submission timelines, and standardizes medical inquiry structures.","Medical_Insight_vod__c, Medical_Inquiry_vod__c, Alert_vod__c","V51000000007011, V51000000008026, V51000000002060, V51000000001091, V51000000002058, V51000000001090, V51000000001030, V51000000002072, V51000000002071, V51000000001081, V51000000007010, V51000000001029, V51000000005008, V51000000001044",38
V_4C2532EF,Event & Expense Management,"Governs the complete lifecycle of Veeva Medical and Commercial events, manages attendee statuses, tracks speakers, and validates meal and programmatic expense allocations.","EM_Event_vod__c, EM_Attendee_vod__c, Expense_Header_vod__c, Medical_Event_vod__c","V51000000007006, V51000000008007, V51000000008017, V51000000001103, V51000000001042, V51000000001047, V51000000002085, V51000000002082, V51000000002079, V51000000002052, V51000000002048, V51000000002045, V51000000001109, V51000000001089, V51000000001088, V51000000001072, V51000000001059, V51000000001058, V51000000001055, V51000000001054, V51000000001048, V51000000001043, V51000000001027, V51000000001026, V51000000002051, V51000000002047, V51000000002046, V51000000002084, V51000000002036, V51000000008013, V51000000002019, V51000000002018, V51000000001099, V51000000001060",48
V_4821E8B3,Survey & Solicitation Management,"Coordinates survey creation, collects feedback, handles HCP solicitation permissions for medical communications, and manages survey report visibility with coaches.","Survey_Target_vod__c, Survey_vod__c, Question_Response_vod__c","V51000000008011, V51000000008024, V51000000001092, V51000000001070, V51000000001068, V51000000005012, V51000000002056, V51000000002044, V51000000001053, V51000000001031, V51000000001086",50
V_C2C08E41,Consent & Privacy (GDPR) Management,"Monitors multichannel consents, prevents updates to consented communications without valid permissions, enforces international compliance guidelines, and logs periodic GDPR notice updates.","Multichannel_Consent_vod__c, Account, Consent_Type_vod__c, mck_GDPR_Notification__c","V51000000008008, V51000000008014, V51000000002092, V51000000001067, V51000000006012, V51000000005005, V51000000002077, V51000000002040, V51000000002039, V51000000001097, V51000000001066, V51000000001065",529
V_03FAE132,Key Account & Account Plan Management,"Supports Key Account Management workflows, automates action-item task creation, defaults tactical lookups, and cascades ownership updates down the account plan hierarchy.","Account_Tactic_vod__c, Action_Item_vod__c, Key_Stakeholder_vod__c","V51000000007014, V51000000008039, V51000000008038, V51000000005007, V51000000002091, V51000000002081, V51000000001076, V51000000005006, V51000000008040",15
V_E366AB10,"User, Profile, & Permission Management","Manages system user data, automates permission set/application assignments, logs role transitions, and deactivates accounts dormant over 90 days.","User, Merck_User_Access_Request__c","V51000000007012, V51000000002098, V51000000002021, V51000000002093, V51000000002083, V51000000002076, V51000000002073, V51000000002038, V51000000002037, V51000000002035, V51000000001074, V51000000002013, V51000000001102, V51000000001101, V51000000001071, V51000000001049, V51000000001023, V51000000001016, V51000000001011, V51000000001012, V51000000001085, V51000000002078, V51000000005001",737
V_D7E1A91E,Veeva Approved Email & Digital Interactions,"Manages tracking rules for email deliveries, processes error bounces, flags corresponding accounts, and generates user alerts for clicks/opens.","Sent_Email_vod__c, Account, Approved_Document_vod__c, Channel_Metrics_vod__c","V51000000007008, V51000000001104, V51000000001063, V51000000005002, V51000000002057, V51000000002053, V51000000008021, V51000000002002, V51000000001084, V51000000001082",35
V_31F00A01,CLM & Key Messages,Updates country-based sharing permissions for Closed Loop Marketing presentations and establishes global identification strings for key message entities.,"Key_Message_vod__c, Clm_Presentation_vod__c, CLM_to_Account__c","V51000000008009, V51000000001075, V51000000001045, V51000000008002, V51000000002069",324
V_D129B6FF,Call & Limit Management,"Enforces regional, provincial, and user-line call frequency restrictions, syncs duration metrics, and handles record unlock dynamics on call activities.","Call2_vod__c, Call_Limit__c, Account","V51000000007007, V51000000002099, V51000000002074, V51000000002066, V51000000002050, V51000000002041, V51000000002032, V51000000002017, V51000000002005, V51000000001108, V51000000001079, V51000000001028, V51000000001020, V51000000001015",2072
V_3F320569,Coaching Reports,"Enforces double and triple coaching report formats, calculates final percentage outcomes, and transitions profiles to read-only views.",Coaching_Report_vod__c,"V51000000007013, V51000000001098, V51000000001095, V51000000001046",16
V_4DE8FB15,External Data Integration (READ/READa) & Utilities,"Maintains data synchronization endpoints, manages transaction logs, and processes external registration data to synchronize Salesforce Accounts with external CIAM, consent, and event data.","mck_Related_External_Account_Data__c, mck_Related_External_Account_Data_Attrib__c, iConnect_Interface_Log__c","V51000000007016, V51000000002034, V51000000002055, V51000000002020, V51000000002006, V51000000001077, V51000000001073, V51000000002033, V51000000002016, V51000000002008, V51000000002007, V51000000001013, V51000000001017, V51000000001056, V51000000001062",1660
V_9480279E,Salesforce Community & Standard Pages,"Hosts default portals supporting member features such as logging in, password changes, site registration, ideas posting, and answers access.",User,"V51000000007019, V51000000007020, V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000001038, V51000000001039, V51000000001040, V51000000001041, V51000000002022, V51000000002023, V51000000002024, V51000000002025, V51000000002026, V51000000002027, V51000000002028",1
V_87CF18F5,MyInsights & Dashboards,"Provides embedded Veeva MyInsights reports and dashboards for Account Plans, Remote Meetings, Engage Splash Screens, and Performance Tracking.",Account_Plan_vod__c,"V51000000001110, V51000000008043, V51000000008044, V51000000008045, V51000000008046, V51000000008047, V51000000008048, V51000000008049, V51000000008050, V51000000008051",0
V_A866926F,Remote Meetings,Manages the reconciliation status of Remote Meetings by automatically updating the Attendee Reconciliation Status field on the parent Remote Meeting record.,Remote_Meeting_vod__c,V51000000007004,21
V_CE35D1A9,User & Access Management,"Automates user lifecycle management, including user creation, cloning, synchronization with Azure Active Directory, permission set assignments, and monitoring user login activity to ensure secure and compliant access to the system.","User, PermissionSet","V51000000001011, V51000000001012, V51000000001085, V51000000002078, V51000000005001",76
V_6CE65492,Community & Portal Management,"Provides standard portal and community functionalities, enabling external or guest users to securely log in, register, manage passwords, access ideas and answers, and view customized site pages including error and maintenance screens.","Network, Site","V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000001038, V51000000001039, V51000000002022, V51000000002023, V51000000002024, V51000000002025, V51000000002026, V51000000002027, V51000000002028, V51000000007019",1
V_50A77C67,Task & Activity Management,"Streamlines the management of tasks and events by standardizing layout visualizations, automating task process flows, and sending email notifications for follow-up activities to improve user productivity and tracking.","Task, Event","V51000000001017, V51000000001040, V51000000001041, V51000000001056, V51000000001062, V51000000007020",152
V_9318D98B,Territory & Alignment Management,Manages territory alignments by automating updates to brick-to-territory mappings and handling inactive territory rules to ensure accurate geographical and organizational data distribution.,"Brick_to_Terr_vod__c, Territory2","V51000000001018, V51000000002080",36
V_636A532E,Multichannel Cycle Plan (MCCP) & Product Metrics,"Facilitates the execution and tracking of Multichannel Cycle Plans (MCCP) by automating the approval of edited goals, managing list target approvals, and synchronizing product metric segments to ensure accurate targeting and performance measurement.","MC_Cycle_Plan_vod__c, Product_Metrics_vod__c","V51000000001005, V51000000001107, V51000000002015, V51000000002042, V51000000005011",75
V_AE7A397F,Account & Data Change Request (DCR) Management,"Enhances account data quality and team collaboration by integrating with IQVIA OneKey for validation requests, automating updates to account team member external IDs, and triggering email alerts for Data Change Request (DCR) resolutions.","Account, Data_Change_Request_vod__c, Account_Team_Member","V51000000002014, V51000000002043, V51000000005006, V51000000008042",6
V_4D42ED9F,Event & Remote Meeting Management,"Automates the creation and management of national events and remote meetings, including the synchronization of attendee reconciliation statuses to ensure accurate tracking of event participation and compliance.","EM_Event_vod__c, EM_Attendee_vod__c, Remote_Meeting_vod__c","V51000000002036, V51000000002084, V51000000007004",25
V_68BBEE7A,Account Planning & Coaching,"Supports strategic account management and coaching by embedding MyInsights reports into account plans, automating the reassignment of related child records upon account plan owner changes, and facilitating the sharing of coaching reports.","Account_Plan_vod__c, HTML_Report_vod__c","V51000000001086, V51000000001110, V51000000008040",0
V_AC5FA179,MyInsights Dashboards & Analytics,"Delivers comprehensive analytics and data visualization through custom MyInsights dashboards, providing actionable insights for account planning, remote meetings, field force effectiveness (FFE), performance tracking, and call planning across various regions and teams.",HTML_Report_vod__c,"V51000000008043, V51000000008044, V51000000008045, V51000000008046, V51000000008047, V51000000008048, V51000000008049, V51000000008050, V51000000008051",0
V_43D2F52B,User & Access Management,"Manages user provisioning, synchronization with Azure AD, permission set assignments, and monitors user login activity to ensure secure and compliant access to the system.","User, PermissionSetAssignment","V51000000001011, V51000000001012, V51000000001085, V51000000002078, V51000000005001",76
V_21C9B279,Event & Remote Meeting Management,"Facilitates the end-to-end management of national events and remote meetings, including attendee reconciliation, automated event creation, and providing customized splash screens for Engage meetings.","EM_Event_vod__c, EM_Attendee_vod__c, Remote_Meeting_vod__c","V51000000002036, V51000000002084, V51000000007004, V51000000008045, V51000000008046, V51000000008047",25
V_5B921E6A,Multichannel Cycle Planning (MCCP) & Segmentation,"Streamlines the cycle planning process by automating target approvals, goal editing, and dynamically mapping product metrics to local and regional segments for accurate targeting.","MC_Cycle_Plan_vod__c, MC_Cycle_Plan_Target_vod__c, Product_Metrics_vod__c","V51000000001005, V51000000001107, V51000000002015, V51000000002042, V51000000005011",75
V_71AB2170,Account Planning & Team Management,"Supports strategic account management by providing embedded MyInsights dashboards, synchronizing account plan ownership across child records, and managing account team member external IDs.","Account_Plan_vod__c, Account_Team_Member_vod__c","V51000000001110, V51000000005006, V51000000008040, V51000000008043, V51000000008044",6
V_DB5C33E5,Task & Activity Management,"Automates task and event workflows, standardizes calendar item layouts, and triggers email notifications for follow-up activities to enhance field force productivity.","Task, Event","V51000000001017, V51000000001040, V51000000001041, V51000000001056, V51000000001062, V51000000007020",152
V_0C9F9A81,Community & Portal Management,"Provides a seamless digital experience for external users through standard community pages, custom site templates, authentication flows, and error handling pages.","Network, Site","V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000001038, V51000000001039, V51000000002022, V51000000002023, V51000000002024, V51000000002025, V51000000002026, V51000000002027, V51000000002028, V51000000007019",1
V_D3E56795,Data Change Request (DCR) & Master Data Validation,Ensures data quality by integrating with IQVIA OneKey for validation requests and automating email alerts for Data Change Request (DCR) status updates.,"Data_Change_Request_vod__c, Account","V51000000002014, V51000000002043, V51000000008042",0
V_5CD57305,Field Force Analytics & Call Planning,"Empowers the field force with actionable insights through performance tracking dashboards, call planning tools for commercial and medical teams, and report sharing capabilities.","Call2_vod__c, HTML_Report_vod__c","V51000000001086, V51000000008048, V51000000008049, V51000000008050, V51000000008051",0
V_C230A83A,System Configuration & Territory Management,"Handles foundational system configurations, including the generation of external IDs for mobile object configurations and the management of inactive territory rules.","VMobile_Object_Configuration_vod__c, Territory2","V51000000001050, V51000000002080",0
V_3FFFB072,User & Access Management,"Manages user provisioning, access control, permission set assignments, and synchronization with external identity providers like Active Directory/Azure AD. Also handles user inactivity monitoring and cloning to ensure secure and compliant system access.","User, PermissionSet","V51000000001011, V51000000001012, V51000000001085, V51000000002078, V51000000005001",76
V_E9BF731E,Event & Remote Meeting Management,"Facilitates the end-to-end management of events and remote meetings, including national event creation, attendee reconciliation, and customized Engage splash screens for participants to ensure a seamless digital and in-person event experience.","EM_Event_vod__c, EM_Attendee_vod__c, Remote_Meeting_vod__c","V51000000002036, V51000000002084, V51000000007004, V51000000008045, V51000000008046, V51000000008047",25
V_CF3E4C4A,Account Planning & Performance Management,"Supports strategic account planning and performance tracking by synchronizing record ownership across account plans and performance metrics, managing account team members, and providing comprehensive MyInsights dashboards for field force effectiveness.","Account_Plan_vod__c, mck_Performance_Tracking__c, AccountTeamMember","V51000000008041, V51000000008040, V51000000001110, V51000000008043, V51000000008044, V51000000008048, V51000000008049, V51000000005006",6
V_23EEC23B,Multichannel Cycle Plan (MCCP) & Call Planning,"Manages the approval workflows for Multichannel Cycle Plan (MCCP) goals and targets, and provides specialized call planning insights for commercial and medical teams across regions to optimize field engagement strategies.","MC_Cycle_Plan_vod__c, MC_Cycle_Plan_Target_vod__c","V51000000001005, V51000000002015, V51000000008050, V51000000008051",3
V_AECFD02E,Task & Activity Management,"Standardizes the visualization and processing of tasks, events, and follow-up activities, including automated email notifications and custom layout overrides for calendar items to improve field productivity.","Task, Event","V51000000001017, V51000000001040, V51000000001041, V51000000001056, V51000000001062, V51000000007020",152
V_5E826C97,Customer Portal & Community Experience,"Provides the foundational infrastructure for Salesforce Communities and Sites, handling user authentication, profile management, error pages, and standard portal features like Ideas and Answers to deliver a cohesive digital experience.","Network, User","V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000001038, V51000000001039, V51000000002022, V51000000002023, V51000000002024, V51000000002025, V51000000002026, V51000000002027, V51000000002028, V51000000007019",1
V_677708BD,Product Metrics & Segmentation,"Automates the mapping and synchronization of product metrics and customer segmentation data, ensuring accurate regional and local segment categorizations for precise targeting.",Product_Metrics_vod__c,"V51000000001107, V51000000002042, V51000000005011",72
V_6B6CA865,Data Quality & Master Data Management,"Ensures data integrity by managing Data Change Requests (DCRs) and external validation requests (e.g., IQVIA OneKey), including automated email alerts for data updates to maintain a reliable single source of truth.","Data_Change_Request_vod__c, Account","V51000000002014, V51000000002043, V51000000008042",0
V_6BC385B6,Territory & Field Coaching Management,Manages territory alignment rules and facilitates field coaching by automating the sharing of performance reports with designated coaches to drive continuous improvement.,"Territory2, Report","V51000000001086, V51000000002080",0
